Request,Short Text
DEVK935733,ToC from DEVK935391 : Send Basis Configuration for Prod
DEVK934956,ToC from DEVK934954 : Send Basis Configuration for Prod-ISU
DEVK935500,FI - GL Account master data changes
DEVK935501,MM - Purchase order enhancement
DEVK935502,ToC from DEVK935499 : SD Pricing config for client 100
DEVK935503,HR - Payroll schema updates
DEVK935504,ToC from DEVK935490 : Basis RFC connection settings
DEVK935505,PP - Production order BAdI implementation
DEVK934900,WM - Warehouse management config
DEVK934901,ToC from DEVK934890 : QM Inspection lot config
